QUEST_20150317_000001	Please select the user requiring a quest update.	Pilih user untuk memodifikasi quest.
QUEST_20150317_001192	Modestas, having now just won a wagon and an injured horse, originally intended to keep just the wagon and his original horse. {nl}But seeing as the injured horse wasn't as injured as he thought, he believed he had won big. {nl}	Modestas baru saja memenangkan sebuah gerobak dan kuda yang terluka, awalnya ia bermaksud untuk menyimpan gerobak dan kuda itu. {nl} Tetapi setelah melihat kuda yang terluka itu, tidak terlalu banyak terluka seperti yang ia bayangkan, maka ia yakin bahwa ia telah memenangkan sesuatu yang besar. {nl}
QUEST_20150317_001193	In his mind, now that he'd had obtained two horses and a wagon, he believed he was no longer in a bad situation, deciding this time to be very careful not to lose big next. {nl}So, instead of following the soldiers, he decided to go to a place where there was less people. He reined his horse and traveled away from civilization. {nl}However, even in a remote setting, he was bound to meet others. {nl}	Dalam benaknya, ia kini telah memiliki 2 kuda beserta kereta, sehingga ia yakin bahwa kini ia tidak lagi ada dalam situasi yang buruk. Ia pun memutuskan bahwa kali ini ia akan sangat berhati-hati untuk tidak kalah banyak selanjutnya. {nl} Jadi, bukannya mengikuti para prajurit, ia memutuskan untuk pergi ke sebuah tempat yang tidak terlalu banyak orang. Ia menaiki kudanya dan berjalan jauh dari keramaian. {nl} Namun, dalam perjalanan, ia bertemu sekelompok orang. {nl}
QUEST_20150317_001194	Rare as it would be, Modestas, while moving about in a uninhabited mountain, encountered an elderly Alchemist. {nl}The old Alchemist sat on a chair on the right side of the road, a silver nugget in hand. {nl}As Modestas passed by for a closer look, the nugget turned out to not be of silver, but of lead. {nl}	Adalah sesuatu yang langka, yaitu ketika Modestas sedang berjalan di area pegunungan yang tidak berpenghuni lalu bertemu dengan seorang senior Alchemist. {nl} Alchemist tua itu duduk di kursi tepat sebelah jalan, dengan potongan silver di tangannya. {nl} Sambil Modestas melewatinya untuk melihat lebih dekat, potongan logam itu berubah dari silver menjadi tembaga. {nl}
QUEST_20150317_001195	#VALUE!	Bisa Alchemist ini menjadi salah satu yang bisa mengubah timah menjadi emas? " berpikir Modestas, tapi segera pikir dia hanya melebih-lebihkan Alchemist. {nl} Tapi Alchemist, senang melihat seseorang lewat setelah waktu yang lama, memanggil Modestas, dan tiba-tiba mengusulkan taruhan dengan dia. Entah bagaimana, seluruh dunia saat ini tampaknya ingin membuat taruhan dengan Modestas, dan ia mulai bosan. {nl} Modestas menyukai perjudian, tetapi untuk menemukan lawan ini dengan mudah telah menjadi lelucon kepadanya. {nl}
QUEST_20150317_001196	Modestas was about to do something unlike his being and reject the bet, but the idea that he could wager low moved his mind. {nl}After all, the old Alchemist was wagering a lead nugget. {nl}	Modestas bermaksud untuk melakukan sesuatu yang tidak biasa dan menolak taruhan, tetapi ini dilakukan dengan tujuan agar ia dapat bertaruh rendah. {nl} Setelah semua ini, Alchemist tua mempertaruhkan potongan tembaga. {nl}
QUEST_20150317_001197	Because he was certain to lose this time, Modestas believed it would be better to wager and lose against a lead nugget now than to run into people who would wager a large amount of money, and lose later. {nl}Modestas first made sure that he could accept the bet despite having no money at hand and could bring some later, and accepted the bet. No words need to be said about the result. {nl}	Karena kali ini Modestas sudah yakin akan kalah, ia percaya bahwa lebih baik mempertaruhkan bongkahan timah sekarang daripada harus bertemu dengan orang-orang yang akan membuatnya kehabisan banyak uang. {nl}Awalnya Modestas yakin bahwa ia bisa menerima ajakan itu walaupun tidak punya uang sepeser pun saat itu dan bisa membawanya lain kali, ia pun menerima ajakan itu. Tidak ada kata yang bisa menggambarkan hasilnya.{nl}
QUEST_20150317_001199	However, right as the bet was settled, the lead nugget prize let out a sparkle and, in a moment, clearly became gold. {nl}The Old Alchemist now snickered, 'Now you owe me one gold nugget. Be sure to bring it.' {nl}Modestas protested, but as much as he looked, what the old Alchemist now held was clearly no longer lead. {nl}	Namun, tepat seperti taruhan itu diselesaikan, hadiah nugget memimpin mengeluarkan kilau dan, dalam beberapa saat, jelas menjadi emas. {nl} The Old Alchemist sekarang mencibir, "Sekarang Kamu berutang satu nugget emas. Pastikan untuk membawa itu. ' {nl} Modestas protes, tapi sebanyak dia tampak, apa yang sekarang memegang Alchemist tua itu jelas tidak memimpin lagi. {nl}
QUEST_20150317_001200	Instead, it was clearly gold, so in the end Modestas had bet and lost against a gold nugget. {nl}A now-tired Modestas ultimately had no way of objecting to the Alchemist. {nl}	Sebaliknya, itu sudah jelas adalah emas, maka pada akhirnya Modestas bertaruh terhadap potongan emas. {nl} Dimana Modestas yang sekarang lelah, tidak memiliki cara untuk mengatakan keberatan kepada Alchemist. {nl}
QUEST_20150317_001201	Now, Modestas had lost more gold than he owed the strange old woman. {nl}And now, he only had one unconditional victory and defeat left. {nl}As Modestas lead his wagon through the rest of the mountain path, he murmured about having to make sure his next win was a very big one. {nl}	Nah, Modestass Mr.Far yang mendapatkan gold yang selama ini dimiliki wanita tua, kini sudah bisa dipinjam.  {nl} Dan sekarang, kesempatanmu menang atau kalah seimbang, lain kali kamu akan berpikir ini untuk yang terakhir, dan ternyata kamu bisa menang besar.{Nl] Modestass, salah satu yang menarik kata-katanya menjelaskan syarat dan ketentuan kepada mereka yang tidak mengenali dirinya sendiri. {nl}
QUEST_20150317_001202	'This time, no matter what, I have to wage a bet against the world's richest - well maybe not the richest - but a wealthy man at the least.'{nl}As soon as he uttered these words, his surroundings shook like an earthquake and a heavy, deep voice declared.{nl}'I am the richest in this region.'{nl}	Kali ini, tidak peduli apa, aku harus mengobarkan taruhan terhadap orang terkaya di dunia - baik mungkin tidak terkaya -. Tetapi orang kaya setidaknya' {nl} Begitu ia mengucapkan kata-kata ini, lingkungannya mengguncang seperti gempa dan, dan terdengar suara berat. {nl} 'Akulah oarang terkaya di wilayah ini. "{nl}
QUEST_20150317_001203	Modestas scanned his surroundings but failed to find anyone. So he asked,{nl}'Who are you?'{nl}The deep, heavy voice answered his question.{nl}'I am where you stand. In your tongue, I am called the mountain.'{nl}Modestas, in disbelief, couldn't help but talk back.{nl}	Modestas mencari di sekelilingnya tetapi gagal untuk menemukan siapa pun. Jadi dia bertanya, {nl} 'Siapa kau? "{nl} Mendalam, suara berat menjawab pertanyaannya. {nl}' Aku ada di mana Kamu berdiri. Bangsa Kamu, menyebutku gunung. '{nl} Modestas, tak percaya, tidak bisa membantu tetapi berbicara kembali. {nl}
QUEST_20150317_001204	You are... the mountain?'{nl}'That is correct. I am the mountain, and just as you are looking for, the richest around here.'{nl}'You are the mountain? Well, no, even if you are the mountain, how can you claim to be the richest?'{nl}'I own much land, for my sierra stretches far. Further in me, I contain large, valuable lodes.'{nl}	Kamu ... gunung? '{nl}' Itu benar. aku gunung, dan seperti yang Kamu cari, terkaya di sekitar sini. "{nl} 'Kamu gunung? Nah, tidak ada, bahkan jika Kamu gunung, bagaimana bisa Kamu mengklaim sebagai terkaya? '{nl}' Aku memiliki banyak tanah, untuk sierra aku membentang jauh. Selanjutnya dalam diriku, aku mengandung banyak barang berharga. '{nl}
QUEST_20150317_001205	Hearing about the mountain's valuable lodes revived Modestas' habit. He even knew that this time, he was certain to win. Modestas started persuading the self-proclaiming mountain to make a bet with him. The mountain, unconcerned over winning or losing this bet, agreed. {nl}	Setelah mendengar bahwa San memiliki mineral yang berharga, sifat alami Modestas terbangkitkan. Ia bahkan tahu, bahwa kali ini ia sudah pasti akan menang. Modestas mulai mempersuasi San untuk bertaruh dengannya. San yang tidak begitu mempedulikan menang atau kalah akan taruhan ini, akhirnya ia pun setuju. {nl}
QUEST_20150317_001206	For a person to have a fateful encounter with a mysterious being like this, even Modestas doubted his own sanity. {nl}In any case, Modestas bet against the mountain's ores, and won.{nl}	Entah bagaimana ini terjadi pada seseorang dalam pertemuan yang ditakdirkan, dan pada akhirnya bertaruh satu sama lainnya, sampai-sampai Modestas meragukan kewarasan akan dirinya sendiri.{nl} Bagaimanapun, pertaruhan Modestas dan San akhirnya dimenangkan oleh Modestas.{nl} 
QUEST_20150317_001207	At the end of the bet, the mountain erupted, and a large boulder landed directly in front of Modestas. It was certainly something, but the boulder didn't seem to be what Modestas expected. For the mountain, this was the gambling debt repaid. {nl}In Modestas' eyes however, there should have been veins of gold, or at least something useful, like copper or coal. {nl}	Ada sebuah sell di depan batu yang besar, dan betting mountain sudah selesai di mata Modestas's eye. Aku mengelurkan isu bahwa mungkin akan kalah taruhan, tapi bukan seperti yang Modestass-san inginkan.  {nl} Ini dibayarkan sebagai konsiderasi sebuah gunung, yang hanyalah sebuah batu besar.  {nl} Mr.Stars berharap, emas yang ada paling tidak cooper, namun ternyata hanya ada batu besar yang kau gunakan seperti batu bara.  {nl}
QUEST_20150317_001208	Even if the mountain's veins contained nothing but rocks, he thought he could end up owning a large quarry to dig out valuable stones. Instead, the mountain had paid an inadequate reward.{nl}When Modestas pointed it out, the mountain disagreed. {nl}'All you own are two horses and a wagon.'	Selain itu, jika lapisan mineral yang dibicarakan oleh San hanya batu biasa pun, minimal, sepertinya paling tidak bisa dijual kepada pedagang pembuat batu kerikil, San menaruh harga jelas.{nl}Ketika Modestas menekankan akan hal itu, San menjawab.{nl}“Aset yang kau miliki adalah dua ekor kuda dan gerobak. 
QUEST_20150317_001209	'Surely one must wage things of equal value. This boulder is worth as much as you own.'{nl}With that said, the mountain returned to its former self, never to deal with Modestas nor anyone else ever again. {nl}Modestas, in his desperate situation, had wasted his crucial chance just to win one big boulder.{nl}Despite his bad luck, he consoled himself by knowing at least he had horses and a wagon to transport the boulder.{nl}	 Tentu saja jika bertaruh harus memiliki nilai yang sama dengan diri sendiri. Batu ini memiliki nilai sebesar itu."{nl}Sambil berkata seperti itu, San kembali karena Modestas juga tidak melawan orang lain lagi siapapun juga, dan hanya melihat diri sendiri.{nl}Sungguh gempar karena mendapatkan sebongkah batu pada kesempatan pentin di saat kondisi Modestas.{nl}diantara ketidakberuntungan, sungguh hal yang melegakan karena memiliki kudan dan gerobak untuk dapat memindahkan batu yan didapat.{nl}
QUEST_20150317_001210	And then suddenly, anxiety struck him. He realized that, although he has an unconditional loss upcoming, given the strange things that happened up to now, he would not be able to easily control the outcome of the final bet. {nl}Nonetheless, Modestas knew he couldn't stay where he was right now, and decided to leave. {nl}	Dan lalu secara mendadak rasa cemas melanda dirinya, ketika ia sadar bahwa ia akan mengalami kerugian besar yang tidak bisa dihindari, dan juga akan hal-hal aneh yang menimpa dirinya belakangan ini, dia tidak akan dengan mudah dapat mengontrol hasil dari taruhan akhir. {nl} Dalam kasus ini, Modestas tahu bahwa ia tidak boleh tetap berada di tempat ia berada saat inim dan ia memutuskan untuk pergi. {nl}
QUEST_20150317_001211	#VALUE!	Tetapi batu yang mencuat keluar, tidak dalam kondisi tidak bisa bergerak atau tertanam atau terkubur dalam tanah, tetapi batu itu sungguh besar sehingga sulit untuk Modestas menggerakkannya sendirian.{nl}Ia berpikir untuk meninggalkan batu itu sampai sini dan pergi begitu saja, tetapi sungguh disayangkan jika mengingat perkataan San bahwa batu ini memiliki nilai sampai membutuhkan 2 ekor kuda dan gerobak untuk membawanya.{nl} Kalau harus menjual batu itu kepada pengrajin baju atau pembuat batu kerikil, entah berapa banyak uang yang bisa didapat, sehingga Modestas pun terdiam di tempat dan berpikir keras, karena ia tidak bisa menaikkan atau membuang batu itu.{nl}
QUEST_20150317_001212	In front of Modestas, who had been worrying, appeared a familiar figure. It was none other than the one who had started the bet - the suspicious old woman.{nl}The old woman questioned Modestas.{nl}'How is it? Is it going well?'{nl}	Muncullah seorang yang asing di hadapan Modestas yang sedang berpikir keras. Orang yang muncul adalah seorang wanita tua mencurigakan yang mulai berjudi dengan Modestas pertama kalinya.{nl}Wanita tua yang muncukl bertanya kepada Modestas.{nl}"Bagaimana? Apakah semua lancar?"{nl}
QUEST_20150317_001213	Modestas confessed he was far from making profits; instead he was in debt, wasted all his chances to win, and only had his last, losing bet remaining.{nl}After listening to his story the old woman responded flatly, {nl}'Since you only have one bet left, go ahead and make your last losing bet. Then all that's left for you to do is pay up your end of the bargain for losing the bet against me.'{nl}Modestas was a man who loved to gamble, but he was not the type to throw a tantrum, nor was he a sore loser.	Modestass Mr. Jika kamu tidak bangkrut, bersiaplah menang sampai ke multi-skip Shitsu-do sekali dalam beberapa waktu. {nl} dan lalu semua cerita tentang old woman katakan. {nl} "Jadi karena aku pergi sekarang hanya quality level diakhir bet yang kalah, dengan mendengarkan bet yang kalah dan hutangku."  {nl}Modestass Mr. dan bet yang kalah, aku orang yang suka bertaruh. Kamu bisa membedakannya, orang-orang yang tidak melakukan Shofuku hasilnya tidak akan bagus.
